,years_competed,finish_placements,finish_marks,country
Rui Silva,"['2005', '2003', '2001']","['3', '5', '7']","['3:38.02', '3:33.68', '3:35.74']",POR
Ivan Heshko,"['2005', '2003']","['4', '3']","['3:38.71', '3:33.17']",UKR
Alex Kipchirchir Rono,['2005'],['7'],['3:40.43'],KEN
Daham Najim Bashir,['2005'],['10'],['3:43.48'],QAT
Reyes Estévez,"['2005', '2003', '2001', '1999', '1997']","['11', '6', '5', '3', '3']","['3:46.65', '3:33.84', '3:32.34', '3:30.57', '3:37.26']",ESP
Yassine Bensghir,['2005'],['12'],['3:50.19'],MAR
Hicham El Guerrouj,"['2003', '2001', '1999', '1997', '1995']","['1', '1', '1', '1', '2']","['3:31.77', '3:30.68', '3:27.65', '3:35.83', '3:35.28']",MAR
Paul Korir,['2003'],['4'],['3:33.47'],KEN
Gert-Jan Liefers,"['2003', '2001']","['7', '9']","['3:33.99', '3:36.99']",NED
Vyacheslav Shabunin,['2003'],['8'],['3:34.37'],RUS
Isaac Kiprono Songok,['2003'],['9'],['3:34.39'],KEN
Roberto Parra,['2003'],['10'],['3:35.02'],ESP
Fouad Chouki,['2003'],[''],['DQ'],FRA
Driss Maazouzi,"['2001', '1999']","['3', '8']","['3:31.54', '3:34.02']",FRA
William Chirchir,['2001'],['4'],['3:31.91'],KEN
José Antonio Redolat,['2001'],['6'],['3:34.29'],ESP
Abdelkader Hachlaf,['2001'],['8'],['3:36.54'],MAR
Paul McMullen,"['2001', '1995']","['10', '10']","['3:39.35', '3:38.23']",USA
Noah Ngeny,['1999'],['2'],['3:28.73'],KEN
Fermín Cacho,"['1999', '1997', '1995', '1993', '1991']","['4', '2', '8', '2', '5']","['3:31.34', '3:36.63', '3:37.02', '3:35.56', '3:35.62']",ESP
Andrés Manuel Díaz,['1999'],['5'],['3:31.83'],ESP
Laban Rotich,"['1999', '1997']","['6', '11']","['3:33.32', '3:41.27']",KEN
David Kipkoech Lelei,['1999'],['7'],['3:33.82'],KEN
Steve Holman,['1999'],['9'],['3:34.32'],USA
Graham Hood,"['1999', '1997']","['10', '7']","['3:35.35', '3:37.55']",CAN
Noureddine Morceli,"['1999', '1997', '1995', '1993', '1991']","['', '4', '1', '1', '1']","['DNF', '3:37.37', '3:33.73', '3:34.24', '3:32.84']",ALG
Alí Hakimi,['1997'],['5'],['3:37.51'],TUN
Mohamed Suleiman,"['1997', '1995', '1993', '1991']","['6', '7', '4', '9']","['3:37.53', '3:36.96', '3:36.87', '3:38.12']",QAT
Robert Kiplagat Andersen,['1997'],['8'],['3:37.66'],DEN
John Mayock,['1997'],['9'],['3:38.67'],GBR
Rüdiger Stenzel,"['1997', '1993']","['10', '10']","['3:38.82', '3:38.66']",GER
Nadir Bosch,['1997'],['12'],['3:48.35'],FRA
Vénuste Niyongabo,['1995'],['3'],['3:35.56'],BDI
Rachid El Basir,"['1995', '1993']","['4', '7']","['3:35.96', '3:37.68']",MAR
Kevin Sullivan,['1995'],['5'],['3:36.73'],CAN
Abdelkader Chékhémani,['1995'],['6'],['3:36.90'],FRA
Gary Lough,['1995'],['9'],['3:37.59'],GBR
Niall Bruton,['1995'],['11'],['3:39.15'],IRL
Isaac Viciosa,['1995'],['12'],['3:41.12'],ESP
Abdi Bile,['1993'],['3'],['3:35.96'],SOM
Jim Spivey,['1993'],['5'],['3:37.42'],USA
Matthew Yates,"['1993', '1991']","['6', '10']","['3:37.61', '3:38.71']",GBR
Mohamed Taki,['1993'],['8'],['3:37.76'],MAR
Simon Doyle,"['1993', '1991']","['9', '12']","['3:38.04', '3:41.54']",AUS
Manuel Pancorbo,['1993'],['11'],['3:39.68'],ESP
Gennaro Di Napoli,"['1993', '1991']","['12', '8']","['3:47.38', '3:36.56']",ITA
Wilfred Oanda Kirochi,['1991'],['2'],['3:34.84'],KEN
Hauke Fuhlbrügge,['1991'],['3'],['3:35.28'],GER
Jens-Peter Herold,['1991'],['4'],['3:35.37'],GER
Mário Silva,['1991'],['6'],['3:35.76'],POR
David Kibet,['1991'],['7'],['3:36.03'],KEN
Saïd Aouita,['1991'],['11'],['3:39.49'],MAR
