,years_competed,finish_placements,finish_marks,country
Simone Oberer,"['2007', '2005']","['22', '18']","['5922', '5882']",SUI
Yuki Nakata,"['2007', '2005']","['23', '20']","['5869', '5735']",JPN
Diana Pickler,['2007'],['25'],['5838'],USA
Salla Rinne,['2007'],['26'],['5813'],FIN
Sylvie Dufour,"['2007', '2003']","['27', '18']","['5805', '5723']",SUI
Vasilikí Delinikóla,['2007'],['29'],['5745'],GRE
Kaie Kand,['2007'],['30'],['5616'],EST
Lucimara da Silva,['2007'],['31'],['5601'],BRA
Gretchen Quintana,['2007'],['32'],['4954'],CUB
Virginia Johnson,"['2007', '2005']","['', '16']","['NM', '5911']",USA
Karin Ruckstuhl,"['2007', '2005']","['', '8']","['DNF', '6174']",NED
Eunice Barber,"['2005', '2003', '2001', '1999', '1997', '1995', '1993']","['2', '2', '', '1', '', '5', '']","['6824', '6755', 'DNF', '6861', 'DNF', '5469', 'DNF']",FRA
Naide Gomes,['2005'],['7'],['6189'],POR
Magdalena Szczepańska,['2005'],['19'],['5880'],POL
Janice Josephs,['2005'],[''],['DNF'],RSA
Yuliya Akulenko,['2005'],[''],['DNF'],UKR
Tatsiana Alisevich,['2005'],[''],['DNF'],BLR
Juana Castillo,['2005'],[''],['DNF'],DOM
Karin Ertl,"['2005', '2001', '1999']","['', '5', '6']","['DNF', '6283', '6317']",GER
Laurien Hoos,['2005'],[''],['DNF'],NED
Tiia Hautala,"['2005', '2001', '1999', '1997', '1995']","['', '10', '5', '14', '15']","['DNS', '6002', '6369', '6026', '5244']",FIN
Natallia Sazanovich,"['2003', '2001', '1997']","['3', '2', '5']","['6524', '6539', '6428']",BLR
Elena Prokhorova,"['2003', '2001']","['4', '1']","['6452', '6694']",RUS
Denise Lewis,"['2003', '2001', '1999', '1997', '1995']","['5', '', '2', '2', '6']","['6254', 'DNS', '6724', '6654', '5467']",GBR
Gertrud Bacher,"['2003', '2001', '1999']","['6', '9', '14']","['6166', '6010', '6055']",ITA
Larisa Netseporuk,['2003'],['7'],['6154'],EST
Svetlana Kazanina,"['2003', '2001', '1999', '1997', '1995']","['11', '', '15', '', '']","['6047', 'DNF', '5993', 'DNF', 'DNF']",KAZ
Iryna Butar,['2003'],['12'],['6035'],BLR
Natalya Roshchupkina,"['2003', '2001', '1999']","['13', '4', '10']","['6034', '6294', '6175']",RUS
Julie Hollman,['2003'],['14'],['6018'],GBR
Yelena Chernyavskaya,['2003'],['16'],['5969'],RUS
Liga Klavina,['2003'],['17'],['5932'],LAT
Svetlana Gnezdilov,['2003'],[''],['DNF'],ISR
Kim Schiemenz,['2003'],[''],['DNF'],USA
Tia Hellebaut,"['2003', '2001']","['', '14']","['DNF', '5680']",BEL
Shelia Burrell,"['2001', '1999']","['3', '11']","['6472', '6162']",USA
Le Shundra Nathan,"['2001', '1997', '1995', '1993']","['7', '7', '7', '17']","['6073', '6298', '5428', '5785']",USA
Irina Belova,"['2001', '1999', '1991']","['8', '', '3']","['6061', 'NM', '6448']",RUS
Nicole Haynes,"['2001', '1999']","['12', '16']","['5786', '5787']",CAN
G. Pramila Aiyappa,['2001'],['15'],['5492'],IND
Ghada Shouaa,"['1999', '1995', '1993', '1991']","['3', '1', '', '24']","['6500', '5749', 'DNF', '5066']",SYR
Sabine Braun,"['1999', '1997', '1995', '1993', '1991']","['4', '1', '', '2', '1']","['6497', '6739', 'DNF', '6797', '6672']",GER
Urszula Wlodarczyk,"['1999', '1997', '1995', '1993', '1991']","['7', '4', '9', '5', '6']","['6287', '6542', '5417', '6394', '6391']",POL
Remigija Nazaroviene,"['1999', '1997', '1995']","['8', '3', '17']","['6262', '6566', '5176']",LTU
Magalys García,"['1999', '1995']","['12', '']","['6159', 'DNF']",CUB
Irina Vostrikova,"['1999', '1997']","['13', '8']","['6153', '6277']",RUS
Katerina Nekolná,['1999'],['17'],['5787'],CZE
Catherine Bond-Mills,"['1999', '1995', '1993']","['18', '', '']","['5730', 'DNF', 'DNF']",CAN
Rita Ináncsi,"['1999', '1995', '1993', '1991']","['', '3', '11', '11']","['DNF', '5651', '6188', '6198']",HUN
Jane Jamieson,"['1999', '1995']","['', '14']","['DNF', '5252']",AUS
