,years_competed,finish_placements,finish_marks,country
Mathias Brugger,['2017'],[''],['DNF'],GER
Luiz Alberto de Araújo,"['2017', '2015', '2011']","['', '', '16']","['DNF', 'DNF', '7902']",BRA
Mihail Dudaš,"['2017', '2013', '2011']","['', '14', '6']","['DNF', '8275', '8256']",SRB
Trey Hardee,"['2017', '2015', '2013', '2011', '2009']","['', '', '', '1', '1']","['DNF', 'DNF', 'DNF', '8607', '8790']",USA
Sutthisak Singkhon,['2017'],[''],['DNF'],THA
Eelco Sintnicolaas,"['2017', '2015', '2013', '2011', '2009']","['', '', '5', '5', '']","['DNF', 'DNF', '8391', '8298', 'DNF']",NED
Leonel Suárez,"['2017', '2013', '2011', '2009']","['', '10', '3', '2']","['DNF', '8317', '8501', '8640']",CUB
Zachery Ziemek,"['2017', '2015']","['', '15']","['DNF', '8006']",USA
Jefferson Dos Santos,['2017'],[''],['DNS'],BRA
Ashton Eaton,"['2015', '2013', '2011', '2009']","['1', '1', '2', '17']","['9045', '8809', '8505', '8061']",USA
Michael Schrader,"['2015', '2013']","['7', '2']","['8418', '8670']",GER
Niels Pittomvils,['2015'],['22'],['6678'],BEL
Yordani García,"['2015', '2011', '2009', '2007']","['', '', '7', '8']","['DNF', 'DNF', '8387', '8257']",CUB
Willem Coertzen,"['2015', '2013', '2011', '2009']","['', '9', '', '13']","['DNF', '8343', 'DNF', '8146']",RSA
Jeremy Taiwo,"['2015', '2013']","['', '']","['DNF', 'DNF']",USA
Felipe dos Santos,['2015'],[''],['DNF'],BRA
Carlos Chinin,"['2013', '2007']","['6', '']","['8388', 'DNF']",BRA
Pascal Behrenbruch,"['2013', '2011', '2009']","['11', '7', '5']","['8316', '8211', '8439']",GER
Andrei Krauchanka,"['2013', '2009', '2007']","['12', '9', '']","['8314', '8281', 'DNF']",BLR
Gunnar Nixon,['2013'],['13'],['8312'],USA
Artem Lukyanenko,['2013'],['16'],['8177'],RUS
Mikk Pahapill,"['2013', '2011', '2009', '2005']","['17', '9', '', '12']","['8170', '8164', 'DNF', '8003']",EST
Eduard Mikhan,['2013'],['18'],['7968'],BLR
Sergey Sviridov,['2013'],['20'],['7843'],RUS
Pelle Rietveld,['2013'],['21'],['7840'],NED
Brent Newdick,"['2013', '2011', '2009']","['23', '19', '22']","['7744', '7761', '7915']",NZL
Marcus Nilsson,['2013'],['24'],['7540'],SWE
Gaël Quérin,['2013'],['25'],['6846'],FRA
Dmitriy Karpov,"['2013', '2011', '2009', '2007', '2005', '2003']","['', '21', '20', '3', '', '3']","['DNF', '7550', '7952', '8586', 'DNF', '8374']",KAZ
Kame Ali,['2013'],[''],['DNF'],MAD
Ingmar Vos,"['2013', '2011', '2009']","['', '', '19']","['DNF', 'DNF', '8009']",NED
Román Gastaldi,['2013'],[''],['DNF'],ARG
Aleksey Drozdov,"['2011', '2007', '2005']","['4', '4', '10']","['8313', '8475', '8038']",RUS
Jan Felix Knobel,['2011'],['8'],['8200'],GER
Romain Barras,"['2011', '2009', '2007', '2005']","['11', '11', '7', '7']","['8134', '8204', '8262', '8087']",FRA
Roman Šebrle,"['2011', '2009', '2007', '2005', '2003', '2001', '1999', '1997']","['14', '10', '1', '2', '2', '10', '', '9']","['8069', '8266', '8676', '8521', '8634', '8174', 'DNF', '8232']",CZE
Andres Raja,"['2011', '2009', '2007']","['15', '14', '16']","['7982', '8119', '7794']",EST
Kun-woo Kim,"['2011', '2007']","['17', '21']","['7860', '7531']",KOR
Ryan Harlan,['2011'],['22'],['6761'],USA
Jamie Adjetey-Nelson,['2011'],[''],['DNF'],CAN
Darius Draudvila,['2011'],[''],['DNF'],LTU
Hadi Sepehrzad,['2011'],[''],['DNF'],IRI
Maurice Smith,"['2011', '2009', '2007', '2005']","['', '', '2', '']","['DNF', 'DNF', '8644', 'DNF']",JAM
Alexey Sysoev,"['2009', '2007', '2005']","['4', '6', '']","['8454', '8357', 'DNF']",RUS
Nicklas Wiberg,['2009'],['6'],['8406'],SWE
Yunior Díaz,['2009'],['8'],['8357'],CUB
Norman Müller,"['2009', '2007']","['15', '22']","['8096', '7344']",GER
Vasiliy Kharlamov,['2009'],['16'],['8065'],RUS
Eugene Martineau,"['2009', '2007', '2005']","['18', '', '']","['8055', 'DNF', 'DNF']",NED
Nadir El Fassi,['2009'],['21'],['7922'],FRA
Jake Arnold,"['2009', '2007']","['23', '13']","['7837', '8004']",USA
Daniel Almgren,['2009'],['24'],['7803'],SWE
Daisuke Ikeda,['2009'],['25'],['7788'],JPN
Moritz Cleve,['2009'],['26'],['7777'],GER
Yevhen Nikitin,['2009'],['27'],['7710'],UKR
Mateo Sossah,['2009'],['28'],['7682'],FRA
Simon Walter,['2009'],['29'],['7649'],SUI
Attila Szabó,['2009'],['30'],['7610'],HUN
Agustín Félix,"['2009', '2007']","['31', '17']","['7539', '7749']",ESP
Mikk-Mihkel Arro,['2009'],['32'],['7528'],EST
Atis Vaisjuns,['2009'],['33'],['7507'],LAT
Aleksandr Pogorelov,"['2009', '2005', '2003']","['', '5', '']","['DQ', '8246', 'DNF']",RUS
Roland Schwarzl,"['2009', '2005']","['', '15']","['DNF', '7549']",AUT
André Niklaus,"['2007', '2005', '2003']","['5', '4', '8']","['8371', '8316', '8020']",GER
Arthur Abele,['2007'],['9'],['8243'],GER
Paul Terek,"['2007', '2005', '2003']","['10', '13', '12']","['8120', '7921', '7503']",USA
Hans van Alphen,['2007'],['11'],['8034'],BEL
Attila Zsivoczky-Pandel,"['2007', '2005', '2003', '2001', '1999']","['12', '3', '', '4', '10']","['8017', '8385', 'DNF', '8371', '8019']",HUN
Aliaksandr Parkhomenka,['2007'],['14'],['7984'],BLR
François Gourmet,['2007'],['15'],['7974'],BEL
Alberto Juantorena,['2007'],['18'],['7657'],CUB
Hiromasa Tanaka,['2007'],['19'],['7629'],JPN
Josef Karas,['2007'],['20'],['7625'],CZE
Hans Olav Uldal,['2007'],['23'],['6698'],NOR
Vitaliy Smirnov,"['2007', '2005', '2003']","['', '', '10']","['DNF', 'DNF', '7897']",UZB
Hamdi Dhouibi,"['2007', '2005', '2003']","['', '11', '']","['DNF', '8023', 'DNF']",TUN
Bryan Clay,"['2007', '2005', '2003', '2001']","['', '1', '', '']","['DNF', '8732', 'DNF', 'DNF']",USA
Tom Pappas,"['2007', '2003', '1999']","['', '1', '']","['DNF', '8750', 'DNF']",USA
Kristjan Rahnu,"['2005', '2003']","['6', '']","['8223', 'DNF']",EST
Tomáš Dvořák,"['2005', '2003', '2001', '1999', '1997', '1995', '1993']","['8', '4', '1', '1', '1', '5', '10']","['8068', '8242', '8902', '8744', '8837', '8236', '8032']",CZE
Jaakko Ojaniemi,['2005'],['9'],['8042'],FIN
Frédéric Xhonneux,['2005'],['14'],['7616'],BEL
Óscar González,['2005'],['16'],['7526'],ESP
Phil McMullen,"['2005', '2001']","['17', '15']","['6832', '8079']",USA
Haifeng Qi,"['2005', '2003']","['', '7']","['DNF', '8126']",CHN
Benjamin Jensen,"['2005', '2001', '1999']","['', '14', '']","['DNF', '8090', 'DNF']",NOR
Claston Bernard,"['2005', '2003']","['', '9']","['DNF', '8000']",JAM
