,years_competed,finish_placements,finish_marks,country
Dulce Félix,"['2011', '2009']","['8', '12']","['31:37.03', '31:30.90']",POR
Jennifer Rhines,"['2011', '2005', '2001']","['9', '16', '22']","['31:47.59', '31:26.66', '33:11.22']",USA
Jessica AUGUSTO,['2011'],['10'],['32:06.68'],POR
Tigist Kiros,['2011'],['11'],['32:11.37'],ETH
Christelle Daunay,['2011'],['12'],['32:22.20'],FRA
Kara Goucher,"['2011', '2007']","['13', '2']","['32:29.58', '32:02.05']",USA
Hikari Yoshimoto,['2011'],['14'],['32:32.22'],JPN
Kayo Sugihara,['2011'],['15'],['32:53.89'],JPN
Krisztina Papp,['2011'],['16'],['32:56.02'],HUN
Megumi Kinukawa,"['2011', '2007']","['17', '13']","['34:08.37', '32:45.19']",JPN
Meseret DEFAR,['2011'],[''],['DNF'],ETH
Eloise Wellings,['2011'],[''],['DNS'],AUS
Wude Ayalew,['2009'],['3'],['30:51.95'],ETH
Grace Kwamboka Momanyi,['2009'],['4'],['30:52.25'],KEN
Meseret Defar,['2009'],['5'],['30:52.37'],ETH
Amy Begley,['2009'],['6'],['31:13.78'],USA
Yurika Nakamura,['2009'],['7'],['31:14.39'],JPN
Kimberley Smith,"['2009', '2007', '2005']","['8', '4', '15']","['31:21.42', '32:06.89', '31:24.29']",NZL
Kayoko Fukushi,"['2009', '2007', '2005', '2003']","['9', '9', '11', '11']","['31:23.49', '32:32.85', '31:03.75', '31:10.57']",JPN
Inês Monteiro,['2009'],['10'],['31:25.67'],POR
Florence Kiplagat,['2009'],['11'],['31:30.85'],KEN
Ana Dias,"['2009', '2001', '1999']","['14', '21', '15']","['31:49.91', '33:03.78', '32:37.72']",POR
Katie McGregor,"['2009', '2007', '2005']","['15', '12', '14']","['32:18.49', '32:44.76', '31:21.20']",USA
Yingying Zhang,['2009'],['16'],['32:33.63'],CHN
Liliya Shobukhova,['2009'],['17'],['32:42.36'],RUS
Yukari Sahaku,['2009'],['18'],['33:41.17'],JPN
Elvan Abeylegesse,"['2009', '2007']","['', '']","['DQ', 'DQ']",TUR
Kseniya Agafonova,['2009'],[''],['DQ'],RUS
Mariya Konovalova,['2009'],[''],['DQ'],RUS
Olivera Jevtic,"['2009', '2001', '1999']","['', '12', '10']","['DNS', '32:19.44', '31:57.67']",SRB
Tirunesh Dibaba,"['2007', '2005']","['1', '1']","['31:55.41', '30:24.02']",ETH
Joanne Pavey,['2007'],['3'],['32:03.81'],GBR
Deena Kastor,"['2007', '2003', '2001', '1999']","['5', '12', '11', '11']","['32:24.58', '31:17.86', '32:18.65', '32:11.14']",USA
Ejegayehu Dibaba,"['2007', '2005', '2003']","['6', '3', '9']","['32:30.44', '30:26.00', '31:01.07']",ETH
Philes Moora Ongori,['2007'],['7'],['32:30.74'],KEN
Emily Chebet Muge,['2007'],['8'],['32:31.21'],KEN
Nathalie de Vos,['2007'],['10'],['32:38.60'],BEL
Inga Abitova,['2007'],['11'],['32:40.39'],RUS
Akane Wakita,['2007'],['14'],['32:48.68'],JPN
Asmae Leghzaoui,"['2007', '2001', '1999']","['15', '7', '']","['32:51.30', '32:06.35', 'DNF']",MAR
Benita Willis,"['2007', '2005', '2003']","['16', '19', '8']","['32:55.94', '31:55.15', '30:37.68']",AUS
Aheza Kiros,['2007'],['17'],['33:06.60'],ETH
Evelyne Wambui Nganga,['2007'],['18'],['33:17.12'],KEN
Volha Krautsova,['2007'],[''],['DNF'],BLR
Mestawet Tufa,['2007'],[''],['DNF'],ETH
Nora Leticia Rocha,"['2007', '1997']","['', '11']","['DNS', '32:34.58']",MEX
Berhane Adere,"['2005', '2003', '2001', '1999', '1997']","['2', '1', '2', '7', '4']","['30:25.41', '30:04.18', '31:48.85', '31:32.51', '31:48.95']",ETH
Huina Xing,"['2005', '2003']","['4', '7']","['30:27.18', '30:31.55']",CHN
Edith Masai,['2005'],['5'],['30:30.26'],KEN
Werknesh Kidane,"['2005', '2003']","['6', '2']","['30:32.47', '30:07.15']",ETH
Yingjie Sun,"['2005', '2003']","['7', '3']","['30:33.53', '30:07.20']",CHN
Galina Bogomolova,"['2005', '2003']","['8', '6']","['30:33.75', '30:26.20']",RUS
Paula Radcliffe,"['2005', '2001', '1999']","['9', '4', '2']","['30:42.75', '31:50.06', '30:27.13']",GBR
Irene Kwambai Kipchumba,['2005'],['10'],['30:55.80'],KEN
Jelena Prokopcuka,"['2005', '2003']","['12', '10']","['31:04.55', '31:06.14']",LAT
Alla Zhilyaeva,"['2005', '2003', '1995']","['13', '5', '7']","['31:17.97', '30:23.07', '31:52.15']",RUS
Sabrina Mockenhaupt,"['2005', '2003']","['17', '']","['31:28.21', 'DNF']",GER
Hitomi Miyai,['2005'],['18'],['31:43.74'],JPN
Alena Samokhvalova,['2005'],['20'],['31:57.85'],RUS
Hiromi Ominami,['2005'],['21'],['32:02.38'],JPN
Blake Russell,['2005'],['22'],['32:07.00'],USA
Mihaela Maria Prundus,"['2005', '2003', '2001']","['23', '13', '5']","['32:28.29', '31:28.72', '32:03.46']",ROU
Dulce María Rodríguez,['2005'],['24'],['33:04.73'],MEX
Marie Davenport-Mcmahon,"['2005', '2003']","['', '']","['DNF', 'DNS']",IRL
Kathy Butler,['2005'],[''],['DNF'],GBR
Alice Jemeli Timbilili,"['2005', '1999']","['', '']","['DNS', 'DNF']",KEN
Lornah Kiplagat,['2003'],['4'],['30:12.53'],NED
Yoko Shibui,['2003'],['14'],['31:42.01'],JPN
Megumi Oshima,['2003'],['15'],['31:47.00'],JPN
Lidiya Grigoryeva,['2003'],['16'],['31:49.41'],RUS
Elva Dryer,['2003'],['17'],['31:59.81'],USA
Helena Javornik,['2003'],['18'],['32:01.57'],SLO
Salina Jebet Kosgei,['2003'],['19'],['32:09.15'],KEN
Anikó Kálovics,['2003'],['20'],['32:15.96'],HUN
Sonja Stolic,['2003'],['21'],['33:08.87'],SCG
Nataliya Berkut,"['2003', '2001']","['22', '17']","['33:12.84', '32:32.68']",UKR
Yesenia Centeno,['2003'],['23'],['33:32.50'],ESP
Fernanda Ribeiro,"['2003', '1999', '1997', '1995', '1993']","['', '', '2', '1', '10']","['DNF', 'DNF', '31:39.15', '31:04.99', '31:40.51']",POR
Derartu Tulu,"['2003', '2001', '1995', '1991']","['', '1', '2', '8']","['DNF', '31:48.81', '31:08.10', '32:16.55']",ETH
Adriana Fernández,['2003'],[''],['DNS'],MEX
Gete Wami,"['2001', '1999', '1997', '1995']","['3', '1', '', '18']","['31:49.98', '30:24.56', 'DNF', '32:56.94']",ETH
Lyudmila Petrova,['2001'],['6'],['32:04.94'],RUS
Yamna Oubouhou,['2001'],['8'],['32:09.21'],FRA
Haruko Okamoto,['2001'],['9'],['32:14.56'],JPN
Lyudmila Biktasheva,['2001'],['10'],['32:18.64'],RUS
Mizuki Noguchi,['2001'],['13'],['32:19.94'],JPN
Aster Demissie,['2001'],['14'],['32:25.81'],ETH
Teresa Recio,"['2001', '1999']","['15', '8']","['32:30.56', '31:43.80']",ESP
Hrisostomía Iakóvou,['2001'],['16'],['32:31.46'],GRE
Gunhild Halle-Haugen,['2001'],['18'],['32:33.72'],NOR
Mari Ozaki,['2001'],['19'],['32:39.17'],JPN
Tina Connelly,['2001'],['20'],['33:00.37'],CAN
Inga Juodeškiené,['2001'],['23'],['33:11.60'],LTU
María Paredes,['2001'],['24'],['35:44.52'],ECU
Tegla Loroupe,"['1999', '1997', '1995', '1993']","['3', '6', '3', '4']","['30:32.03', '32:00.93', '31:17.66', '31:29.91']",KEN
Harumi Hiroyama-Suzuki,['1999'],['4'],['31:26.84'],JPN
Chiemi Takahashi,"['1999', '1997']","['5', '10']","['31:27.62', '32:23.61']",JPN
Merima Hashim,['1999'],['6'],['31:32.06'],ETH
Marleen Renders,"['1999', '1997', '1995']","['9', '', '17']","['31:51.21', 'DNF', '32:47.46']",BEL
Yuko Kawakami,['1999'],['12'],['32:19.02'],JPN
Restituta Joseph,['1999'],['13'],['32:20.26'],TAN
María Abel,['1999'],['14'],['32:22.88'],ESP
Anne Marie Letko-Lauck,"['1999', '1995', '1993', '1991']","['16', '14', '8', '']","['32:57.07', '32:22.54', '31:37.26', 'DNF']",USA
Guixia Zheng,['1999'],['17'],['32:59.83'],CHN
Blandine Bitzner-Ducret,['1999'],['18'],['33:06.98'],FRA
Zhaoxia Dong,['1999'],['19'],['33:12.94'],CHN
Lidiya Vasilevskaya,['1999'],['20'],['33:13.21'],RUS
María Luisa Larraga,['1999'],['21'],['33:15.98'],ESP
Zahia Dahmani,"['1999', '1997']","['22', '']","['33:46.23', 'DNF']",FRA
Priscilla Mamba,['1999'],['23'],['38:45.18'],SWZ
Libbie Johnson-Hickman,['1999'],[''],['DNF'],USA
Leah Malot,['1999'],[''],['DNF'],KEN
Helena Sampaio,['1999'],[''],['DNF'],POR
Annemari KIEKARA,"['1999', '1997']","['', '15']","['DNF', '33:00.11']",FIN
Stella Castro,['1999'],[''],['DNS'],COL
Sally Barsosio,"['1997', '1993']","['1', '3']","['31:32.92', '31:15.38']",KEN
Masako Chiba,['1997'],['3'],['31:41.93'],JPN
Xiujuan Ren,['1997'],['5'],['31:50.63'],CHN
Siju Yang,['1997'],['7'],['32:01.61'],CHN
Colleen De Reuck,['1997'],['8'],['32:03.81'],RSA
Silvia Sommaggio,['1997'],['9'],['32:16.92'],ITA
Julia Vaquero,['1997'],['12'],['32:36.91'],ESP
Annette Peters,['1997'],['13'],['32:43.38'],USA
Chantal Dällenbach,['1997'],['14'],['32:51.20'],FRA
Hiromi Masuda,['1997'],['16'],['33:03.14'],JPN
Elana Meyer,"['1997', '1995', '1993']","['17', '5', '']","['33:05.82', '31:31.96', 'DNF']",RSA
Maria Guida,"['1995', '1993']","['4', '12']","['31:27.82', '32:15.34']",ITA
Liz McColgan-Nuttall,"['1995', '1991']","['6', '1']","['31:40.14', '31:14.31']",GBR
Hiromi Suzuki,['1995'],['8'],['31:54.01'],JPN
Annemari Sandell-Hyvärinen,['1995'],['9'],['31:54.29'],FIN
Kathrin Wessel,"['1995', '1993', '1991']","['10', '13', '4']","['31:55.04', '32:27.38', '31:38.96']",GER
Lieve Slegers,['1995'],['11'],['32:10.59'],BEL
Lynn Jennings,"['1995', '1993', '1991']","['12', '5', '5']","['32:12.82', '31:30.53', '31:54.44']",USA
Conceição Ferreira,"['1995', '1993', '1991']","['13', '6', '11']","['32:14.69', '31:30.60', '32:29.12']",POR
Jill Hunter,"['1995', '1991']","['15', '9']","['32:24.93', '32:24.55']",GBR
Junko Kataoka,['1995'],['16'],['32:45.43'],JPN
Albertina Dias,"['1995', '1993', '1991']","['', '7', '']","['DNF', '31:33.03', 'DNF']",POR
Yvonne Murray,['1995'],[''],['DNF'],GBR
Junxia Wang,['1993'],['1'],['30:49.30'],CHN
Huandi Zhong,"['1993', '1991']","['2', '2']","['31:12.55', '31:35.08']",CHN
Uta Pippig,"['1993', '1991']","['9', '6']","['31:39.97', '31:55.68']",GER
Carmen de Oliveira,['1993'],['11'],['31:47.76'],BRA
Olga Appell,['1993'],['14'],['32:32.51'],MEX
Naomi Yoshida,['1993'],['15'],['32:35.44'],JPN
Iulia Olteanu,"['1993', '1991']","['16', '17']","['32:40.61', '32:53.57']",ROU
Izumi Maki,"['1993', '1991']","['17', '20']","['32:53.41', '33:27.84']",JPN
Rosario Murcia,['1993'],['18'],['32:54.65'],FRA
Suzana Ciric,['1993'],['19'],['33:26.72'],SCG
María Isabel Juárez,['1993'],['20'],['33:28.47'],MEX
Elaine Van Blunk,['1993'],['21'],['33:42.85'],USA
Gitte Karlshøj,['1993'],['22'],['33:58.58'],DEN
Catherina McKiernan,['1993'],[''],['DNF'],IRL
Päivi Tikkanen,"['1993', '1991']","['', '']","['DNF', 'DNF']",FIN
Xiuting Wang,['1991'],['3'],['31:35.99'],CHN
Ingrid Kristiansen,['1991'],['7'],['32:10.75'],NOR
Luchia Yishak,['1991'],['10'],['32:27.61'],ETH
Delilah Asiago,['1991'],['12'],['32:33.71'],KEN
Tatyana Pozdnyakova,['1991'],['13'],['32:35.17'],URS
Yongmei Wang,['1991'],['14'],['32:40.22'],CHN
Rosanna Munerotto,['1991'],['15'],['32:44.43'],ITA
Miki Igarashi,['1991'],['16'],['32:44.62'],JPN
Carole Rouillard,['1991'],['18'],['32:58.77'],CAN
Annette Sergent-Palluy,['1991'],['19'],['33:01.92'],FRA
Jane Wanjiku Ngotho,['1991'],['21'],['33:36.91'],KEN
Yelena Romanova,['1991'],[''],['DNF'],URS
