,years_competed,finish_placements,finish_marks,country
Carla Sacramento,"['2001', '1999', '1997', '1995', '1993']","['4', '5', '1', '3', '11']","['4:03.96', '4:01.29', '4:04.24', '4:03.79', '4:09.15']",POR
Alesia Turava,['2001'],['7'],['4:07.25'],BLR
Yuliya Kosenkova,['2001'],['9'],['4:08.84'],RUS
Mardrea Hyman,['2001'],['10'],['4:12.48'],JAM
Leah Pells,"['2001', '1997', '1993']","['11', '5', '14']","['4:15.34', '4:06.18', '4:13.87']",CAN
Svetlana Masterkova,['1999'],['1'],['3:59.53'],RUS
Regina Jacobs,"['1999', '1997']","['2', '2']","['4:00.35', '4:04.63']",USA
Kutre Dulecha,"['1999', '1997']","['3', '9']","['4:00.96', '4:08.15']",ETH
Elena Antoci,['1999'],['6'],['4:04.27'],ROU
Ana Amelia Menéndez,['1999'],['8'],['4:04.72'],ESP
Marla Runyan,['1999'],['10'],['4:06.45'],USA
Anita Weyermann,"['1999', '1997']","['12', '3']","['4:17.86', '4:04.70']",SUI
Maite Zúñiga,"['1997', '1995', '1993']","['4', '8', '12']","['4:04.80', '4:07.27', '4:10.79']",ESP
Andrea Šuldesová,['1997'],['6'],['4:06.33'],CZE
Olga Nelyubova,['1997'],['7'],['4:07.34'],RUS
Sonia O'Sullivan,"['1997', '1993']","['8', '2']","['4:07.81', '4:03.48']",IRL
Malin Ewerlöf,['1997'],['10'],['4:08.68'],SWE
Robyn Meagher,['1997'],['11'],['4:10.83'],CAN
Malgorzata Rydz,"['1997', '1995', '1991']","['12', '12', '8']","['4:13.25', '4:20.83', '4:05.52']",POL
Hassiba Boulmerka,"['1995', '1993', '1991']","['1', '3', '1']","['4:02.42', '4:04.29', '4:02.21']",ALG
Kelly Holmes,['1995'],['2'],['4:03.04'],GBR
Angela Chalmers,"['1995', '1993']","['4', '5']","['4:04.74', '4:07.95']",CAN
Lyudmila Borisova,['1995'],['5'],['4:04.78'],RUS
Anna Brzezinska,"['1995', '1993']","['6', '7']","['4:05.65', '4:08.11']",POL
Ruth Wysocki,['1995'],['7'],['4:07.08'],USA
Lyudmila Rogachova,"['1995', '1993', '1991']","['9', '13', '3']","['4:07.83', '4:12.14', '4:02.72']",RUS
Yvonne Mai-Graham,"['1995', '1991']","['10', '13']","['4:08.01', '4:07.45']",JAM
Margarita Marusova,['1995'],['11'],['4:11.64'],RUS
Dong Liu,['1993'],['1'],['4:00.50'],CHN
Yi Lu,['1993'],['4'],['4:06.06'],CHN
Theresia Kiesl,['1993'],['6'],['4:08.04'],AUT
Fabia Trabaldo,['1993'],['8'],['4:08.23'],ITA
Wei Yan,['1993'],['10'],['4:09.05'],CHN
Oksana Mernikova,['1993'],['15'],['4:18.93'],BLR
Tatyana Samolenko-Dorovskikh,['1991'],['2'],['4:02.58'],URS
Doina Melinte,['1991'],['4'],['4:03.19'],ROU
Ellen Kiessling,['1991'],['5'],['4:04.75'],GER
Kirsty Wade,['1991'],['6'],['4:05.16'],GBR
Susan Sirma,['1991'],['7'],['4:05.47'],KEN
Letitia Vriesde,['1991'],['9'],['4:05.67'],SUR
Debbie Scott-Bowker,['1991'],['11'],['4:06.06'],CAN
PattiSue Plumer,['1991'],['12'],['4:06.80'],USA
Elena Fidatov,['1991'],['14'],['4:10.15'],ROU
Ravilya Agletdinova-Kotovich,['1991'],['15'],['4:17.59'],URS
