,years_competed,classes_competed,finish_placements,finish_marks
Yanis David,"[2016, 2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['8', '17', '4', '1']","['6.26m', '6.01m', '6.51m', '6.84m']"
Margaux Jones,"[2016, 2019]","['FR-1', 'SR-4']","['9', '22']","['6.23m', '5.97m']"
Alexis Faulknor,[2016],['SR-4'],['10'],['6.21m']
Erica Bougard,[2016],['SR-4'],['12'],['6.18m']
Mimi Land,[2016],['SR-4'],['14'],['6.15m']
Jahisha Thomas,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['15', '16', '3']","['6.15m', '6.04m', '6.53m']"
Ayana Gales,[2016],['JR-3'],['19'],['6.04m']
Jessie Maduka,[2016],['SO-2'],['21'],['5.97m']
Mia  Adams,[2016],['SR-4'],['23'],['5.83m']
Kelsey Herman,[2016],['FR-1'],['24'],['5.71m']
Kate Hall,"[2017, 2018]","['FR-1', 'SO-2']","['1', '16']","['6.73m', '6.14m']"
Rougui Sow,"[2017, 2018, 2019]","['SO-2', 'JR-3', 'SR-4']","['6', '7', '5']","['6.45m', '6.42m', '6.49m']"
Savannah Carson,"[2017, 2018]","['JR-3', 'SR-4']","['7', '6']","['6.44m', '6.43m']"
Wurrie Njadoe,[2017],['FR-1'],['8'],['6.36m']
Destiny Carter,[2017],['SR-4'],['12'],['6.25m']
Allanah McCorkle,[2017],['SR-4'],['13'],['6.16m']
Rose Jackson,[2017],['SR-4'],['15'],['6.07m']
Leah Lott,[2017],['SR-4'],['18'],['6.01m']
