,years_competed,classes_competed,finish_placements,finish_marks
Marquasha Myers,"[2022, 2023]","['JR-3', 'SR-4']","['20', '23']","['12.63m', '12.24m']"
Rachel Robertson,[2022],['SR-4'],['21'],['12.59m']
Sophie Galloway,[2022],['FR-1'],['22'],['12.38m']
Busola  Akinduro,[2022],['SO-2'],['23'],['12.34m']
Anne-Suzanna Fosther-Katta,[2023],['JR-3'],['7'],['13.66m']
Simone Johnson,[2023],['JR-3'],['11'],['13.42m']
Euphenie Andre,[2023],['SO-2'],['12'],['13.39m']
Emilia Sjostrand,[2023],['SO-2'],['14'],['13.30m']
Cierra  Pyles,[2023],['JR-3'],['15'],['13.24m']
Onaara Obamuwagun,[2023],['JR-3'],['16'],['13.10m']
Asha Fletcher,[2023],['JR-3'],['18'],['13.06m']
Jada Branch,[2023],['SR-4'],['20'],['12.97m']
Ashley Moore,[2023],['JR-3'],['21'],['12.66m']
Christina Warren,[2023],['JR-3'],['22'],['12.52m']
