,years_competed,classes_competed,finish_placements,finish_marks
Claudia Garcia Jou,"[2015, 2016]","['JR-3', 'SR-4']","['6', '3']","['1.81m', '1.82m']"
Erika  Hurd,"[2015, 2016]","['JR-3', 'SR-4']","['7', '9']","['1.81m', '1.82m']"
Marusa Cernjul,[2015],['SR-4'],['7'],['1.81m']
Jailah Mason,"[2015, 2016]","['FR-1', 'SO-2']","['9', '11']","['1.81m', '1.78m']"
Chanice Porter,[2015],['JR-3'],['10'],['1.81m']
Whitney Flannel,[2015],['SR-4'],['11'],['1.81m']
Nakita Gray,[2015],['JR-3'],['12'],['1.77m']
Kaitlin Whitehorn,"[2015, 2016]","['JR-3', 'SR-4']","['12', '3']","['1.77m', '1.82m']"
Erica Bougard,"[2015, 2016]","['JR-3', 'SR-4']","['17', '5']","['1.77m', '1.82m']"
Marine  Vallet,[2015],['JR-3'],['17'],['1.77m']
Kandie Bloch-Jones,"[2015, 2016]","['SO-2', 'JR-3']","['20', '15']","['1.72m', '1.78m']"
Audrey Ketcham,[2015],['JR-3'],['21'],['1.72m']
Danielle Bryan,[2015],['JR-3'],['21'],['1.72m']
Madeline  Fagan,"[2016, 2017]","['SO-2', 'JR-3']","['2', '1']","['1.85m', '1.91m']"
Loretta Blaut,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'JR-3']","['6', '6', '2']","['1.82m', '1.82m', '1.82m']"
Chelsie Decoud,"[2016, 2017]","['SO-2', 'JR-3']","['7', '6']","['1.82m', '1.82m']"
Reka Czuth,[2016],['SO-2'],['8'],['1.82m']
Courtney Avery,"[2016, 2017]","['JR-3', 'SR-4']","['11', '6']","['1.78m', '1.82m']"
Kaysee Pilgrim,"[2016, 2017]","['JR-3', 'SR-4']","['11', '3']","['1.78m', '1.85m']"
Janae Moffitt,"[2016, 2017]","['FR-1', 'SO-2']","['11', '18']","['1.78m', '1.73m']"
Ashley Petersen,[2016],['SR-4'],['15'],['1.78m']
Logan Boss,"[2016, 2017, 2019]","['SO-2', 'JR-3', 'SR-4']","['17', '4', '12']","['1.73m', '1.85m', '1.78m']"
Mimi Land,[2016],['SR-4'],['17'],['1.73m']
Heta  Tuuri,"[2016, 2018]","['SO-2', 'SR-4']","['17', '12']","['1.73m', '1.73m']"
Alexus Henry,"[2016, 2018, 2019]","['FR-1', 'JR-3', 'SR-4']","['17', '1', '12']","['1.73m', '1.82m', '1.78m']"
Zarriea Willis,"[2016, 2017, 2018, 2019, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4', 'SR-4']","['21', '11', '6', '1', '1']","['1.73m', '1.82m', '1.78m', '1.87m', '1.88m']"
Jessica Emde,[2016],['SR-4'],['21'],['1.73m']
Lisanne  Hagens,"[2016, 2017]","['SO-2', 'JR-3']","['23', '10']","['1.73m', '1.82m']"
Nikki  Manson,[2017],['SR-4'],['5'],['1.85m']
Stacey Destin,"[2017, 2019]","['SO-2', 'SR-4']","['6', '8']","['1.82m', '1.81m']"
Clarissa Cutliff,"[2017, 2019]","['SO-2', 'SR-4']","['12', '21']","['1.82m', '1.70m']"
