,years_competed,classes_competed,finish_placements,finish_marks
Marten Gasparini,[2022],['SO-2'],['17'],['67.51m']
Braden Presser,"[2022, 2023]","['SO-2', 'JR-3']","['18', '6']","['67.21m', '76.00m']"
Roan Allen,[2022],['JR-3'],['19'],['66.46m']
Michael Whittaker,[2022],['JR-3'],['20'],['65.96m']
Jared O'Riley,"[2022, 2023]","['SO-2', 'JR-3']","['21', '22']","['65.42m', '64.91m']"
Scott Campbell,[2022],['SO-2'],['22'],['65.02m']
Luke Jackson,"[2022, 2023]","['JR-3', 'JR-3']","['24', '14']","['63.89m', '70.18m']"
John Keenan,[2023],['SR-4'],['7'],['75.96m']
Remi Rougete,[2023],['JR-3'],['9'],['73.41m']
Dash Sirmon,[2023],['FR-1'],['13'],['70.20m']
Chandler Ault,[2023],['JR-3'],['15'],['69.62m']
Matt Kraft,[2023],['SO-2'],['17'],['68.81m']
Lucas Frost,[2023],['JR-3'],['18'],['67.67m']
Colin Winkler,[2023],['SR-4'],['19'],['66.62m']
Zion Hill,[2023],['SR-4'],['20'],['66.53m']
Ethan Cocco,[2023],['JR-3'],['21'],['65.49m']
