,years_competed,classes_competed,finish_placements,finish_marks
Cooper Campbell,[2022],['SR-4'],['14'],['19.22m']
Diego Trevino,[2022],['SO-2'],['16'],['18.97m']
Daniel Viveros,[2022],['JR-3'],['17'],['18.82m']
Maxwell Otterdahl,"[2022, 2023]","['SO-2', 'JR-3']","['18', '4']","['18.81m', '20.52m']"
John Stefan,[2022],['SR-4'],['20'],['18.54m']
Bryce Foster,[2022],['FR-1'],['21'],['18.52m']
Dylan  Targgart,[2022],['FR-1'],['22'],['18.12m']
Djimon Gumbs,[2022],['SO-2'],['23'],['16.99m']
Fred Moudani Likibi,[2023],['JR-3'],['3'],['20.54m']
Jeff Duensing,[2023],['JR-3'],['8'],['19.98m']
Alexander Kolesnikoff,[2023],['JR-3'],['9'],['19.88m']
Tarik Robinson-O'Hagan,[2023],['FR-1'],['11'],['19.73m']
Jason Swarens,[2023],['SO-2'],['13'],['19.58m']
Roje Stona,[2023],['SR-4'],['14'],['19.47m']
Courtney  Lawrence,[2023],['JR-3'],['15'],['19.40m']
Patrick Larrison,[2023],['SR-4'],['17'],['19.09m']
Youssef  Koudssi,[2023],['SR-4'],['18'],['19.03m']
Jeff Kline,[2023],['JR-3'],['19'],['18.77m']
Zach Landa,[2023],['JR-3'],['20'],['18.75m']
Patrick Piperi,[2023],['JR-3'],['21'],['18.65m']
Jamir Gibson,[2023],['SR-4'],['23'],['17.37m']
