,years_competed,classes_competed,finish_placements,finish_marks
Cynthia  Watt,"[2015, 2016]","['JR-3', 'SR-4']","['11', '20']","['60.01m', '58.59m']"
Jackie Leppelmeier,"[2015, 2016]","['JR-3', 'SR-4']","['14', '10']","['59.25m', '61.31m']"
Kiah Hicks,[2015],['SR-4'],['15'],['58.81m']
Jocelyn Williams,[2015],['SR-4'],['16'],['58.04m']
Jermisha Frazier,"[2015, 2016]","['JR-3', 'SR-4']","['17', '14']","['57.99m', '60.59m']"
Krista Chauvin,[2015],['SR-4'],['19'],['57.85m']
Precious Ogunleye,"[2015, 2016]","['JR-3', 'SR-4']","['21', '22']","['57.17m', '56.91m']"
Danielle McConnell,"[2015, 2017]","['FR-1', 'JR-3']","['22', '16']","['56.46m', '61.05m']"
Monique Griffiths,"[2015, 2017]","['JR-3', 'SR-4']","['23', '11']","['54.09m', '63.24m']"
Maggie Ewen,"[2016, 2017]","['SO-2', 'JR-3']","['5', '1']","['63.61m', '73.32m']"
Lyndsey Thorpe,[2016],['SR-4'],['6'],['63.30m']
Nakel McClinton,[2016],['JR-3'],['7'],['62.91m']
Annette Echikunwoke,"[2016, 2019]","['SO-2', 'SR-4']","['8', '23']","['62.01m', '58.57m']"
Janee' Kassanavoid,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['9', '4', '13']","['61.46m', '66.58m', '61.51m']"
Valarie Allman,"[2016, 2018]","['JR-3', 'SR-4']","['11', '8']","['61.25m', '63.52m']"
Jayla Bostic,[2016],['SR-4'],['13'],['60.68m']
Maci Bingham,[2016],['SR-4'],['15'],['60.44m']
Ashley Bryant,"[2016, 2018]","['FR-1', 'SR-4']","['17', '11']","['59.66m', '62.75m']"
Laura Schroeder,[2016],['SR-4'],['18'],['59.11m']
Katja Vangsnes,[2016],['SR-4'],['19'],['58.85m']
Haley Showalter,[2016],['FR-1'],['21'],['57.21m']
Fatima Vergara,[2016],['SR-4'],['23'],['56.06m']
Tayla  Greene,[2016],['JR-3'],['24'],['55.21m']
Brooke Andersen,"[2017, 2018]","['JR-3', 'SR-4']","['2', '2']","['68.62m', '72.87m']"
Beatrice Llano,"[2017, 2019, 2021, 2022]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['3', '7', '5', '3']","['67.42m', '67.74m', '68.78m', '72.10m']"
Veronika Kanuchova,"[2017, 2019]","['FR-1', 'JR-3']","['5', '9']","['65.97m', '67.37m']"
Freya Block,[2017],['SR-4'],['7'],['64.56m']
Emma Thor,"[2017, 2018]","['FR-1', 'SO-2']","['8', '10']","['64.19m', '62.83m']"
Pavla Kuklova,"[2017, 2018, 2019]","['SO-2', 'JR-3', 'SR-4']","['9', '6', '10']","['63.45m', '66.18m', '65.99m']"
Janeah Stewart,"[2017, 2018]","['JR-3', 'SR-4']","['10', '1']","['63.30m', '72.92m']"
Molli Detloff,"[2017, 2019]","['JR-3', 'SR-4']","['12', '6']","['63.07m', '67.94m']"
LaPorscha Wells,[2017],['SR-4'],['13'],['62.87m']
Alison Ondrusek,[2017],['SR-4'],['14'],['62.60m']
