,years_competed,classes_competed,finish_placements,finish_marks
Haley Teel,"[2016, 2019]","['SO-2', 'SR-4']","['18', '11']","['16.06m', '16.62m']"
Alyssa Gary,[2016],['SR-4'],['23'],['15.24m']
Aliyah Gustafson,"[2016, 2018, 2019]","['SO-2', 'SR-4', 'SR-4']","['24', '15', '10']","['15.09m', '16.47m', '16.63m']"
Janeah Stewart,"[2017, 2018]","['JR-3', 'SR-4']","['5', '5']","['17.42m', '17.34m']"
Toni Tupper,[2017],['SO-2'],['10'],['16.64m']
Tanya Sapa,[2017],['SR-4'],['13'],['16.47m']
Danielle Waldner,[2017],['SR-4'],['14'],['16.47m']
Ashlie Blake,"[2017, 2019]","['SO-2', 'SR-4']","['15', '21']","['16.41m', '15.68m']"
Alysiah  Whittaker,[2017],['SR-4'],['16'],['16.31m']
Lena Giger,"[2017, 2018]","['JR-3', 'SR-4']","['17', '3']","['16.22m', '17.59m']"
